,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
0,1.9485785961151123,0.10169100761413574,0.7780673989946006,0.8035786905246035,0.7359404096834264,0.7682737169517885,0.8620273963485401
1,1.9323985576629639,0.10291767120361328,0.770061441072426,0.7984368572603867,0.7226358897989575,0.7586476451045535,0.8485424804247419
2,1.9473323822021484,0.10702013969421387,0.7685288640595903,0.7935667752442996,0.7258845437616387,0.7582182454775336,0.8475876394480683
3,1.9580299854278564,0.10561656951904297,0.776536312849162,0.802937576499388,0.7329608938547486,0.766355140186916,0.8577403257631714
4,1.9754645824432373,0.1019291877746582,0.7815642458100559,0.8055780113177041,0.7422718808193669,0.7726303547199069,0.8600641539139089
mean,1.9523608207702636,0.10383491516113282,0.774951652557167,0.8008195821692763,0.7319387235836277,0.7648250204881398,0.855192399179686
std,0.015843023681552007,0.0023658730152122547,0.005502540187987136,0.004822390826702603,0.007858566534444668,0.006264332740425555,0.006689486160881309
